no.	maxl2sqr
4660	0.007156231759802748	0:03:30.893560
4680	0.012362812540944344	0:03:32.580310
4700	0.007374953564286012	0:03:59.527149
4720	0.003456593432893485	0:03:28.246792
4740	0.002796588276816216	0:03:30.012088
4760	0.006177904294852864	0:03:44.811713
4780	0.0032378926393142877	0:03:31.659960
4800	0.006921113035001276	0:03:27.187994
4820	0.005371908485379559	0:03:38.492768
4840	0.013601588903847654	0:03:41.330572
4860	0.003456648218242518	0:03:32.187996
4880	0.0076033092416495675	0:03:34.600996
4900	0.008422069272754214	0:03:32.311153
4920	0.005910076449000783	0:03:35.299076
4940	0.005151524384485857	0:03:33.718948
4960	0.0027317024052582184	0:03:55.053013
4980	0.005117607315646156	0:03:59.077814
3000	0.0046986500223021735	0:03:29.744110
3020	0.009305101898008792	0:03:27.807411
3040	0.008699617466558389	0:03:29.509828
3060	0.004709489188085621	0:03:29.550244
3080	0.007138998109843129	0:03:29.665071
3100	0.000769046411278122	0:03:30.491476
3120	0.002452962702515018	0:03:31.510079
3140	0.0025864928124679134	0:03:29.435889
3160	0.004830318568538499	0:03:30.043243
3180	0.007151560826670411	0:03:30.165662
3200	0.005366252178354208	0:03:30.095688
3220	0.008983988032170879	0:03:28.487029
3240	0.007711615958958571	0:03:25.605170
3260	0.006283596617863114	0:03:29.585298
3280	0.001876528973838102	0:03:29.027038
3300	0.004205552879071206	0:03:28.396202
3320	0.012468032926302984	0:03:29.022541
3340	0.0028922842495041506	0:03:29.414084
3360	0.0028102177364081418	0:03:29.700026
3380	0.003014123991810893	0:03:30.080912
3400	0.003696930725457289	0:03:30.279233
3420	0.002479387082144513	0:03:29.030232
3440	0.0038972138122178434	0:03:29.165979
3460	0.008457786858502257	0:03:29.506281
3480	0.0031773852759773968	0:03:29.203162
3500	0.008291899332760042	0:03:29.729304
3520	0.00954502019486393	0:03:29.447103
3540	0.0065866937015371125	0:03:29.259023
3560	0.00847694331470482	0:03:28.987825
3580	0.0028110520379659304	0:03:28.979578
3600	0.0047798591027230245	0:03:24.577696
3620	0.005226941418733246	0:03:24.777678
3640	0.0023185668489972945	0:03:25.655921
3660	0.0017224830485788743	0:03:25.275179
3680	0.002516219706535749	0:03:28.883374
3700	0.005083692177295914	0:03:30.130551
3720	0.002345473212866384	0:03:29.286561
3740	0.005930748516557779	0:03:29.452157
3760	0.007033273309649043	0:03:29.969900
3780	0.0026002762104978504	0:03:30.253540
